Средство;Широта;Долгота
09 08:55:23  ;  55.568163333 ;  38.127266667  
09 08:55:29  ;  55.568153333 ;  38.127275  
09 08:55:34  ;  55.568156667 ;  38.127273333  
09 08:55:39  ;  55.568145 ;  38.127268333  
09 08:55:44  ;  55.56814 ;  38.127263333  
09 08:55:49  ;  55.568136667 ;  38.127256667  
09 08:55:54  ;  55.568133333 ;  38.12725  
09 08:55:59  ;  55.56813 ;  38.127243333  
09 08:56:04  ;  55.568126667 ;  38.127236667  
09 08:56:09  ;  55.568125 ;  38.12723  
09 08:56:14  ;  55.568121667 ;  38.127223333  
09 08:56:19  ;  55.56812 ;  38.127216667  
09 08:56:24  ;  55.56812 ;  38.127211667  
09 08:56:29  ;  55.568116667 ;  38.127206667  
09 08:56:34  ;  55.568115 ;  38.127201667  
09 08:56:39  ;  55.568115 ;  38.127196667  
09 08:56:44  ;  55.568113333 ;  38.127191667  
09 08:56:49  ;  55.568113333 ;  38.127188333  
09 08:56:54  ;  55.568113333 ;  38.127183333  
09 08:56:59  ;  55.568111667 ;  38.12718  
09 08:57:04  ;  55.568111667 ;  38.127176667  
09 08:57:09  ;  55.568111667 ;  38.127175  
09 08:57:14  ;  55.568111667 ;  38.127173333  
09 08:57:19  ;  55.568111667 ;  38.127171667  
09 08:57:24  ;  55.568113333 ;  38.127168333  
09 08:57:29  ;  55.568113333 ;  38.127166667  
09 08:57:34  ;  55.568113333 ;  38.127165  
09 08:57:39  ;  55.568113333 ;  38.127163333  
09 08:57:44  ;  55.568113333 ;  38.127161667  
09 08:57:49  ;  55.568113333 ;  38.127158333  
09 08:57:54  ;  55.56811 ;  38.127153333  
09 08:57:59  ;  55.568105 ;  38.127148333  
09 08:58:04  ;  55.568101667 ;  38.127143333  
09 08:58:09  ;  55.568098333 ;  38.12714  
09 08:58:14  ;  55.568096667 ;  38.127135  
09 08:58:19  ;  55.568091667 ;  38.12713  
09 08:58:24  ;  55.568096667 ;  38.12713  
09 08:58:29  ;  55.568101667 ;  38.127128333  
09 08:58:34  ;  55.568105 ;  38.127128333  
09 08:58:39  ;  55.568106667 ;  38.127126667  
09 08:58:44  ;  55.56811 ;  38.127126667  
09 08:58:49  ;  55.568111667 ;  38.127125  
09 08:58:54  ;  55.568113333 ;  38.127123333  
09 08:58:59  ;  55.568113333 ;  38.127123333  
09 08:59:04  ;  55.568115 ;  38.127123333  
09 08:59:09  ;  55.568116667 ;  38.127121667  
09 08:59:14  ;  55.568118333 ;  38.127121667  
09 08:59:19  ;  55.568118333 ;  38.12712  
09 08:59:24  ;  55.568118333 ;  38.127118333  
09 08:59:29  ;  55.568118333 ;  38.127118333  
09 08:59:34  ;  55.568118333 ;  38.127116667  
09 08:59:39  ;  55.568118333 ;  38.127115  
09 08:59:44  ;  55.568118333 ;  38.127113333  
09 08:59:49  ;  55.568116667 ;  38.127113333  
09 08:59:54  ;  55.568116667 ;  38.127111667  
09 08:59:59  ;  55.568116667 ;  38.12711  
09 09:00:04  ;  55.568116667 ;  38.12711  
09 09:00:09  ;  55.568116667 ;  38.127108333  
09 09:00:14  ;  55.568115 ;  38.127108333  
09 09:00:19  ;  55.568108333 ;  38.127103333  
09 09:00:24  ;  55.568098333 ;  38.127098333  
09 09:00:29  ;  55.568096667 ;  38.127098333  
09 09:00:34  ;  55.568095 ;  38.127095  
09 09:00:39  ;  55.56809 ;  38.127091667  
09 09:00:44  ;  55.568085 ;  38.127088333  
09 09:00:49  ;  55.56808 ;  38.127085  
09 09:00:54  ;  55.568076667 ;  38.127081667  
09 09:00:59  ;  55.568075 ;  38.12708  
09 09:01:04  ;  55.568075 ;  38.127078333  
09 09:01:09  ;  55.568076667 ;  38.127076667  
09 09:01:14  ;  55.568076667 ;  38.127076667  
09 09:01:19  ;  55.568075 ;  38.127075  
09 09:01:24  ;  55.568073333 ;  38.127073333  
09 09:01:29  ;  55.568071667 ;  38.127071667  
09 09:01:34  ;  55.56807 ;  38.12707  
09 09:01:39  ;  55.568068333 ;  38.127068333  
09 09:01:44  ;  55.568066667 ;  38.127066667  
09 09:01:49  ;  55.568063333 ;  38.127066667  
09 09:01:54  ;  55.568061667 ;  38.127066667  
09 09:01:59  ;  55.568061667 ;  38.127066667  
09 09:02:04  ;  55.56806 ;  38.127066667  
09 09:02:09  ;  55.568063333 ;  38.12707  
09 09:02:14  ;  55.568065 ;  38.127075  
09 09:02:19  ;  55.568065 ;  38.127076667  
09 09:02:24  ;  55.568065 ;  38.127078333  
09 09:02:29  ;  55.568063333 ;  38.12708  
09 09:02:34  ;  55.568063333 ;  38.127083333  
09 09:02:39  ;  55.568063333 ;  38.127085  
09 09:02:44  ;  55.568063333 ;  38.127086667  
09 09:02:49  ;  55.568061667 ;  38.127088333  
09 09:02:54  ;  55.568063333 ;  38.12709  
09 09:02:59  ;  55.568063333 ;  38.127091667  
09 09:03:04  ;  55.568063333 ;  38.127093333  
09 09:03:09  ;  55.568061667 ;  38.127093333  
09 09:03:14  ;  55.568065 ;  38.127095  
09 09:03:19  ;  55.568066667 ;  38.127098333  
09 09:03:24  ;  55.568068333 ;  38.127101667  
09 09:03:29  ;  55.56807 ;  38.127101667  
09 09:03:34  ;  55.568071667 ;  38.127101667  
09 09:03:39  ;  55.568071667 ;  38.127101667  
09 09:03:41  ;  55.568071667 ;  38.127101667  
09 09:03:46  ;  55.568065 ;  38.1271  
09 09:03:51  ;  55.568063333 ;  38.127106667  
09 09:03:56  ;  55.568058333 ;  38.12711  
09 09:04:01  ;  55.568053333 ;  38.12711  
09 09:04:06  ;  55.568045 ;  38.12711  
09 09:04:11  ;  55.568036667 ;  38.127106667  
09 09:04:16  ;  55.568028333 ;  38.127103333  
